rowid,koi_fpflag_nt,koi_score,koi_period,koi_dikco_msky,koi_fpflag_co,koi_fpflag_ss,koi_num_transits,koi_count,koi_steff_err1,koi_fpflag_ec,koi_srho_err2,kepid,koi_fwm_sdeco,koi_depth,koi_dikco_mra_err,koi_fwm_stat_sig,koi_prad_err1,koi_dicco_msky,koi_smet_err2,koi_ror,koi_dikco_msky_err,koi_prad,koi_dor,classification,koi_pdisposition
8380,1,0.0,1.12679793,6.42,1,0,2034.0,1,169.0,0,-0.01156,8750094,11.13,227.2,0.11,0.0,5.52,0.64,-0.3,0.229677,0.16,21.07,1.23,0,FALSE POSITIVE
8381,0,0.0,0.998217563,0.124,0,1,1348.0,1,168.0,0,-0.00356,8758161,-0.1658165901855308,87567.0,0.067,0.15099363807728558,25.91,0.295,-0.3,0.462512,0.067,88.64,2.3905,0,FALSE POSITIVE
8382,0,1.0,2.68814059,1.2,0,0,503.0,1,152.0,0,-8.84869,8760760,-1.5,145.2,1.1,0.182,0.17,1.1,-0.3,0.011448,1.4,0.92,15.78,1,CANDIDATE
8383,1,0.0,0.58640848,9.676,1,0,2285.0,1,136.0,0,-0.09044,8767034,4.8,61.3,0.083,0.0,0.04,9.658,-0.3,0.007074,0.082,0.48,1.747,0,FALSE POSITIVE
8384,0,0.0,33.46947449,0.034,0,1,41.0,1,208.0,0,-0.00379,8773948,-0.00149,164610.0,0.073,0.15099363807728558,36.33,0.229,-0.25,0.379342,0.068,127.38,28.8965,0,FALSE POSITIVE
8385,0,0.0,1.827558898,0.03,0,1,735.0,1,178.0,0,-0.00748,8784288,-0.04348,314680.0,0.069,0.0,26.99,0.021,-0.25,0.521493,0.069,118.28,4.5722,0,FALSE POSITIVE
8386,1,0.4808294015396076,62.519211,0.51,0,0,23.0,1,158.0,0,-32.86899,8804358,1.8,277.6,0.69,0.259,1.32,0.61,-0.31,0.015325,0.59,1.9,191.6,0,FALSE POSITIVE
8387,0,0.433,97.991569,0.47,0,0,14.0,1,144.0,0,-2.69991,8807057,2.3,126.8,0.71,0.017,0.47,0.37,-0.3,0.011037,0.8,1.41,115.4,1,CANDIDATE
8388,1,0.001,349.85525,6.46,1,0,4.0,1,166.0,0,-13.26096,8508493,-9.1,842.0,0.094,0.0,0.77,6.34,-0.3,0.027213,0.32,2.63,447.0,0,FALSE POSITIVE
8389,0,0.0,2.488812012,0.078,0,1,546.0,1,184.0,0,-0.00326,9652632,-0.15062,131000.0,0.067,0.0,21.97,0.02,-0.3,0.509325,0.067,83.26,3.9721,0,FALSE POSITIVE
8390,1,0.0,0.51811818,6.95,1,0,1268.0,1,169.0,0,-70.56481,9655424,-0.87,99.0,0.29,0.0,0.34,5.58,-0.3,0.010742,0.35,1.09,10.1,0,FALSE POSITIVE
8391,1,0.4808294015396076,542.52829,3.14,0,0,3.0,1,159.0,0,-2.81482,9657636,4.5,75.2,1.1,0.0,0.34,3.73,-0.26,0.008055,0.63,1.07,358.0,0,FALSE POSITIVE
8392,0,0.996,1.057080807,0.14,0,0,1260.0,1,167.0,0,-0.02621,9658089,1.5,60.6,0.39,0.256,0.32,0.84,-0.3,0.009363,0.36,0.97,1.627,1,CANDIDATE
