pl_radeerr1,st_rad,pl_orbper,st_dist,st_disterr2,pl_trandep,pl_rade,st_pmra,pl_orbpererr2,pl_tranmiderr2,pl_tranmid,pl_eqt,st_tmag,pl_trandeperr1,pl_trandeperr2,pl_orbpererr1,st_logg,pl_insol,st_tefferr2,st_teff,st_disterr1,pl_trandurh,pl_trandurherr1,pl_tranmiderr1,classification,tfopwg_disp
1.3680428730103202,1.398624360153596,1.0085089,494.689,-9.557,3051.0,10.14030258702008,-14.441,-9e-07,-0.000793,2460037.195,1274.598122689369,10.0031,688.931,-688.931,9e-07,4.308631089078234,2196.752627544466,-1166.8,5215.2,9.557,1.642,0.343,0.000793,1,PC
0.746573,1.9,3.7039994,300.696,-3.3695,7590.0,17.57,-34.609,-3.7e-06,-0.000611,2459301.544,2149.0,9.6306,1.22092,-1.22092,3.7e-06,4.21,3546.13,-299.6,7013.8,3.3695,4.277,0.599,0.000611,0,FP
1.30647,1.75,1.3042553,301.298,-2.496,914.0,9.36472,-1.536,-2e-06,-0.001123,2460177.867,3569.0,10.0119,628.954,-628.954,2e-06,4.11,26944.7,-130.2,6762.0,2.496,1.706,0.213,0.001123,0,FP
0.894462,0.93,0.62627,134.926,-1.0555,1880.0,5.72162,-35.412,-2e-05,-0.00092,2458544.791,2101.0,10.2355,68.5212,-68.5212,2e-05,4.5,3235.57,-131.2,5622.0,1.0555,0.666,0.169,0.00092,0,FP
0.668057,2.52,0.30412,440.426,-9.484,1330.0,10.417,-10.863,-1e-05,-0.00075,2458518.376,6413.0,8.802,3.83107,-3.83107,1e-05,4.14,280833.0,-235.8,11892.0,9.484,0.748,0.1,0.00075,0,FP
0.8821375,1.2714601,2.1805277,314.995,-7.0655,16340.13532,16.808853,-8.568,-2.7e-06,-0.000699,2459363.821,1654.404068,11.0657,426.89557,-426.89557,2.7e-06,4.21017,1770.465054,-200.0,6599.0,7.0655,2.969175,0.040721,0.000699,1,KP
0.6619751,1.23824,2.1846669,137.544,-0.7905,11708.02285,13.7028527,91.976,-5e-07,-0.00011,2459084.585,1549.44098,9.4995,34.928566,-34.928566,5e-07,4.37759,1362.138143,-200.91517836935745,5630.0,0.7905,2.86528,0.0090748,0.00011,1,KP
1.19579,1.57,3.7354838,405.908,-8.6,17030.0,21.2315,-8.1,-2.1e-06,-0.000257,2459355.546,1670.0,11.0261,0.271732,-0.271732,2.1e-06,4.1639,1292.19,-200.91517836935745,6650.0,8.6,4.142,0.045,0.000257,1,KP
0.6983451,1.56486,21.701669,53.19149,-19.681833991538227,211.6567325,2.3751494,168.17,-0.0095323,-0.007425,2458657.737,685.2,7.1278,25.132692,-25.132692,0.0095323,4.438,52.095,-80.0,5625.0,19.681833991538227,8.2676424,0.5088978,0.007425,0,FA
2.8175755,1.58,9.139804,129.804,-0.5575,358.4157801,3.0629855,-63.327,-0.0001109,-0.002642,2458332.941,1006.993283,9.0197,33.721474,-33.721474,0.0001109,4.34,243.011763,-76.0,5958.2,0.5575,3.0912936,0.6627002,0.002642,1,CP
3.636668,3.86959,5.742625,263.729,-2.8735,1105.760867,13.088532,-18.692,-0.000621,-0.001553,2458657.999,1274.598122689369,8.8849,87.92673,-87.92673,0.000621,3.26574,2196.752627544466,-188.0,5664.0,2.8735,2.860293,0.230499,0.001553,0,FP
0.142957,1.17,15.5077855,88.4343,-0.28175,513.0,2.43432,1.594,-0.0002372,-0.019948,2460122.7,853.0,8.4362,25.4443,-25.4443,0.0002372,4.30881,88.0718,-194.0,6122.0,0.28175,4.565,0.427,0.019948,1,CP
0.2409907,0.974669,17.4713078,57.2651,-0.18695,1199.754148,3.5766828,108.439,-1.76e-05,-0.000867,2458661.063,689.3568807,8.0888,28.872627,-28.872627,1.76e-05,4.49925,53.3700317,-7.82429,5783.54,0.18695,4.4284819,0.0990118,0.000867,1,CP
0.3630359,1.36963,5.3079507,168.354,-0.6765,391.3830934,3.0486928,9.716,-1.91e-05,-0.001997,2458326.062,1263.986113,9.6663,26.766296,-26.766296,1.91e-05,4.38,603.2401116,-83.0,6124.3,0.6765,3.2158594,0.2920944,0.001997,1,PC
0.26575,0.943356,51.1701501,98.2855,-0.26725,851.4547808,2.9366826,117.721,-0.0001962,-0.00308,2458607.351,466.7322968,9.4091,36.121876,-36.121876,0.0001962,4.46138,11.2148229,-187.0,5599.0,0.26725,6.6641048,0.2877187,0.00308,1,PC
0.8162001,3.4475601,11.1296441,338.831,-6.705,951.6169809,12.8402271,3.226,-6.03e-05,-0.004563,2458663.023,1518.237249,9.3781,60.711002,-60.711002,6.03e-05,4.344,1255.681716,-189.0,5785.0,6.705,7.0473822,0.3110119,0.004563,1,PC
1.10249,0.94,9.4496506,98.8783,-0.4197,19750.0,17.0216,4.297,-2.8e-06,-0.000382,2460106.338,694.0,9.7825,16.7663,-16.7663,2.8e-06,4.39758,38.5799,-186.0,5509.0,0.4197,2.021,0.027,0.000382,1,PC
0.734704,1.77,2.8493825,364.411,-2.729,8049.0,16.3869,10.845,-3e-07,-0.000127,2460201.639,1864.0,10.3157,25.0232,-25.0232,3e-07,4.438,2005.83,-200.91517836935745,6900.0,2.729,3.567,0.053,0.000127,1,KP
0.57323,1.21935,0.540933,133.171,-0.6935,257.347459,2.28501,24.978,-0.000107,-0.003078,2458654.253,1274.598122689369,9.7345,27.641214,-27.641214,0.000107,4.25342,2196.752627544466,-186.0,5525.0,0.6935,1.674337,0.329757,0.003078,0,FP
0.16833,0.89,4.1150576,82.1733,-0.1632,487.0,2.30057,107.847,-5.6e-06,-0.001332,2460177.2,826.0,9.478,50.8548,-50.8548,5.6e-06,4.50942,77.3573,-185.0,5394.0,0.1632,1.08,0.323,0.001332,1,CP
0.2128311,0.791742,10.0665238,61.1201,-0.1009,839.9044871,2.7272824,-89.125,-2.37e-05,-0.001492,2458629.392,694.1792631,9.0689,47.550835,-47.550835,2.37e-05,4.61783,54.8791715,-187.0,5552.0,0.1009,2.4023189,0.1599323,0.001492,1,PC
1.638728,0.737189,6.4438657,68.0726,-0.362,1121.951228,2.460344,-3.457,-1.65e-05,-0.001185,2458656.668,712.2812841,10.0059,76.157646,-76.157646,1.65e-05,4.52079,60.831305,-178.0,4803.0,0.362,1.9309449,0.3014965,0.001185,1,CP
1.7533404,0.737189,12.2265595,68.0726,-0.362,1206.369329,2.6014766,-3.457,-2.69e-05,-0.001696,2458664.49,575.3502049,10.0059,86.60944,-86.60944,2.69e-05,4.52079,25.8970378,-178.0,4803.0,0.362,2.1904379,0.4219775,0.001696,1,CP
17.500204,1.2,2.160344,639.004,-9.4715,19357.99299,22.503541,7.315,-0.000276,-0.002094,2458654.348,1274.598122689369,13.2851,1487.6189,-1487.6189,0.000276,4.32928,2196.752627544466,-200.91517836935745,5780.0,9.4715,1.828854,0.14481,0.002094,1,KP
0.582183,1.07,4.606184,353.891,-4.919,13793.03487,12.962219,3.99,-0.000392,-0.001239,2458657.833,1274.598122689369,11.9707,1031.5532,-1031.5532,0.000392,4.3925,2196.752627544466,-200.91517836935745,5670.0,4.919,3.121643,0.078877,0.001239,1,KP
0.3442331,0.76701,3.1316735,263.609,-1.659,14915.69437,9.4995191,3.125,-3.3e-06,-0.000501,2458656.988,890.5622134,13.1686,307.91364,-307.91364,3.3e-06,4.438,148.6544991,-167.0,4351.0,1.659,2.4579197,0.0815638,0.000501,1,KP
0.600679,0.92,3.180362,535.383,-7.8145,21192.46332,13.446487,11.096,-0.000247,-0.001251,2458656.633,1274.598122689369,13.2887,682.47424,-682.47424,0.000247,4.47934,2196.752627544466,-200.91517836935745,5498.0,7.8145,2.111521,0.106258,0.001251,1,KP
0.765765,1.22,2.9776446,197.996,-3.038,13022.0,14.4339,-16.778,-8e-07,-0.000256,2460147.379,1461.0,10.4293,123.052,-123.052,8e-07,4.25824,758.324,-188.0,5703.0,3.038,2.962,0.099,0.000256,1,KP
0.899664,1.71,3.9502008,211.211,-2.4835,13914.0,20.5357,26.376,-2.6e-06,-0.000449,2460176.993,1570.0,9.6433,95.9899,-95.9899,2.6e-06,4.18077,1009.38,-200.91517836935745,6153.0,2.4835,4.444,0.046,0.000449,1,KP
0.196978,1.28,2.9776152,480.5485556089607,-19.681833991538227,43218.11168,26.88423,-0.5914762573756674,-9.78e-05,-0.000532,2458655.579,1386.5,15.7114,416.72778,-416.72778,9.78e-05,4.29219,873.27,-200.91517836935745,5740.0,19.681833991538227,3.25697,0.030226,0.000532,0,FP
0.7620152,1.11499,3.5544026,290.198,-2.937,10164.87534,13.200677,-27.094,-2e-06,-0.000376,2458655.394,1214.987644,11.5803,290.74887,-290.74887,2e-06,4.37172,515.0014435,-188.0,5639.0,2.937,2.0550535,0.0377042,0.000376,1,KP
1.376776,2.4494,12.8379689,703.878,-10.696,10539.01928,25.4886382,1.679,-0.0031236,-0.002195,2459211.732,1225.0,11.7106,361.00934,-361.00934,0.0031236,4.34773,374.129,-189.0,5765.0,10.696,9.8464123,0.1878411,0.002195,0,FP
0.4312808,0.6983,3.9228016,300.67,-3.806,31510.90049,13.3368705,3.827,-1.22e-05,-0.001293,2459036.473,788.0973496,13.6699,1047.8658,-1047.8658,1.22e-05,4.438,91.167589,-168.0,4444.0,3.806,1.8736007,0.0798146,0.001293,1,CP
1.1757723,0.741671,13.9428705,107.356,-0.408,1015.395543,2.4233421,20.031,-5.85e-05,-0.003188,2458662.653,587.1759148,10.6339,87.93079,-87.93079,5.85e-05,4.63095,28.0927293,-183.0,5206.0,0.408,3.7522756,0.6019145,0.003188,1,PC
1.4926332,0.580337,0.6047392,61.4592,-0.09435,1027.683348,1.8625587,-99.737,-5.6e-06,-0.000554,2458654.25,1222.59731,11.1186,64.46101,-64.46101,5.6e-06,4.60963,528.0253155,-170.0,4046.0,0.09435,1.0403847,0.2214539,0.000554,1,CP
0.6510275,1.03997,2.5495611,248.46,-2.1455,14921.40219,12.9171288,5.382,-7e-07,-0.000119,2458654.163,1337.864515,11.2474,81.960434,-81.960434,7e-07,4.44653,757.1284067,-200.91517836935745,5659.0,2.1455,2.6173308,0.0193336,0.000119,1,KP
0.3239791,0.984326,1.6062693,463.683,-3.3225,16725.30193,12.6436029,-22.788,-1e-06,-0.000206,2458654.103,1374.801814,13.461,216.14401,-216.14401,1e-06,4.4617,844.2700581,-182.0,5192.0,3.3225,1.9561305,0.0446816,0.000206,1,PC
0.0900143,0.390989,0.5182425,20.373,-0.0192,831.8920424,1.3485121,424.414,-4.2e-06,-0.000362,2458654.103,1019.329598,10.1165,40.76848,-40.76848,4.2e-06,4.88693,255.1405815,-102.0,3325.0,0.0192,0.8565249,0.0753501,0.000362,1,CP
1.1265037,1.7234,3.1644075,1179.27,-45.91,5603.463547,14.8814743,-1.479,-1.22e-05,-0.00199,2458656.38,1747.949001,13.1284,592.0081,-592.0081,1.22e-05,4.22068,2206.155048,-194.0,6519.0,45.91,2.0576293,0.2198119,0.00199,1,PC
0.2679916,0.809868,3.0440541,421.855,-8.339,22236.01654,12.1086799,3.479,-4.3e-06,-0.000439,2458328.084,1075.318454,13.163,490.51093,-490.51093,4.3e-06,4.52192,315.9871326,-200.91517836935745,5523.0,8.339,2.5984575,0.0611654,0.000439,1,KP
1.0583848,0.199988,3.9652485,25.559,-0.0541,3680.754444,1.2305102,-270.293,-1.22e-05,-0.001219,2458654.061,386.6684768,12.7067,458.06815,-458.06815,1.22e-05,4.96636,5.2829448,-64.0,3296.0,0.0541,1.0112593,0.5740471,0.001219,1,PC
11.475316,1.23975,2.98278,354.05,-19.681833991538227,6136.231662,11.467011,-5.214,-0.000442,-0.002567,2458654.026,1274.598122689369,11.5247,315.89865,-315.89865,0.000442,4.29978,2196.752627544466,-192.0,6027.0,19.681833991538227,3.109528,0.110696,0.002567,1,PC
0.3785092,0.649613,16.3469053,100.248,-0.25385,2212.425725,3.5059571,-10.282,-5.04e-05,-0.003152,2458626.086,441.7489067,11.8835,107.20914,-107.20914,5.04e-05,4.57345,8.9995944,-173.0,4310.0,0.25385,3.5865698,0.2242998,0.003152,1,PC
